NAME,ALIAS,CAP,ALIAS FREQ
BEFFY,BETTY,0.51026,0.93868
KRISTY,KNSTY,0.58915,0.93827
DOUGLAS,DOUG,0.5968,0.93739
RUBYLEE,RUBY,0.58357,0.93636
MILDRED,MILD,0.60417,0.93548
ALMADELIA,ALMA,0.38067,0.93525
CLARAMAE,CLARA,0.47606,0.9337
MANUBHAI,MANU,0.21958,0.93258
HERBERT,HERB,0.62046,0.93219
NATIVIDAD,NATIVID,0.54513,0.9321
MIMMIE,MINNIE,0.51688,0.93156
FELIKS,FELIX,0.25241,0.93128
CARL,CAD,0.46608,0.93115
HOWARD,HOWA,0.45821,0.92983
HADDIE,HATTIE,0.34846,0.92969
TRAVIS,TRAV,0.3986,0.92935
CLEVELAND,CLEVELA,0.58036,0.92857
CLINTON,CLINT,0.3213,0.92841
HAROLD,HARO,0.25273,0.92781
GLADICE,GLADYS,0.34944,0.92735
HERMAN,HERM,0.4702,0.92605
PAVIA,PAULA,0.3425,0.92568
KENNETH,KEN,0.58153,0.92445
TRENTON,TRENT,0.25197,0.92415
DAVID,VID,0.27863,0.92405
BRADFORD,BRAD,0.38417,0.92402
RODMAN,ROD,0.13301,0.92378
MARGARITA,MARGANTA,0.46429,0.92308
ROSAELENA,ROSA,0.44136,0.92258
LINCOLN,LINC,0.25345,0.92237
KIMELA,KIM,0.33834,0.92193
CHESTER,CHET,0.41013,0.92178
MAURICE,MORICE,0.2337,0.92143
MELISSA,MEUSSA,0.57399,0.92086
CRYSTAL,CRYS,0.63205,0.92066
LORRAINE,LOUAINE,0.41727,0.92064
DOMINGO,MINGO,0.12367,0.92053
KANUBHAI,KANU,0.26514,0.92046
NORBERT,NORB,0.65875,0.92035
GABRIEL,GABE,0.4712,0.91969
MARILYN,MANLYN,0.57549,0.91958
ERNESTINE,EMESTINE,0.45215,0.91946
BRENDA,BREN,0.41822,0.91934
HUMBERTO,HUMBER,0.47305,0.91861
JARNES,JAMES,0.62942,0.91848
LINDER,LINDA,0.21978,0.9182
WANDER,WANDA,0.25798,0.91818
DONALD,DON,0.50039,0.91784
ROCJARD,RICHARD,0.58654,0.91729
TIFFANY,TIFF,0.6182,0.91692
RICHARD,RICHER,0.22822,0.91667
KEVIN,KEV,0.54125,0.91658
DOUGLAS,DOUG,0.2897,0.91639
BRADLEY,BRAD,0.42328,0.91629
AJAYKUMAR,AJAY,0.40584,0.91617
MYRTLE,MYRT,0.53627,0.91616
NORMAN,NORM,0.58109,0.91561
GREGORY,GREG,0.39392,0.91461
CHARLES,CHAS,0.69338,0.91453
LYDIA,LYD,0.45,0.91406
LANCELOT,LANCE,0.22566,0.91384
JENEFFER,JENNIFER,0.41281,0.91339
LUIS,WIS,0.36729,0.91333
MARVIN,MARV,0.61904,0.91289
SIEGFRIED,SIEG,0.22128,0.91228
SKIPPER,SKIP,0.12529,0.91216
ESPERANZA,ESPIE,0.19155,0.91195
GENEVIEVE,GENEVI,0.5,0.91189
CORYDON,CORY,0.22691,0.91129
JENNIFER,NIFER,0.05278,0.91129
CHADLEY,CHAD,0.4854,0.91096
JERMAINE,JERMAI,0.57955,0.91071
DANFORTH,DAN,0.19245,0.91071
SISAM,SUSAN,0.60797,0.91045
ANTHONY,ANTHY,0.48142,0.9097
RICHARD,DICK,0.46312,0.90956
VARVARA,BARBARA,0.18657,0.90909
BENFORD,BEN,0.11211,0.90909
MICHAEL,MIKE,0.5259,0.90881
GLORIA,GLO,0.46807,0.90877
PORFIRIO,PORFINO,0.38393,0.90845
GRACELYN,GRACE,0.15594,0.90833
GREGORY,GREG,0.55502,0.90782
ROBERT,ROBEA,0.49167,0.90769
QUENTIN,QUENT,0.30291,0.90683
CECILIA,CECY,0.17446,0.90654
YOLANDA,YOLIE,0.17052,0.90566
TIMUR,TIM,0.1082,0.90476
CLINTON,CLINT,0.19957,0.90473
GRAHAM,GRAM,0.23164,0.90441
PHYLLIS,PHYLUS,0.625,0.90361
CHARLES,CHUCK,0.55708,0.90337
VINCENT,VINCE,0.53801,0.90307
ELEZEBETH,ELIZABETH,0.49733,0.90291
CLEVELAND,CLEVEL,0.48691,0.90291
SUDHABEN,SUDHA,0.3218,0.90291
MINNIE,MINNY,0.30267,0.90266
ZENAIDA,ZENY,0.24832,0.90244
DALE,DAK,0.15808,0.90196
HELLON,HELEN,0.25996,0.90132
EMMER,EMMA,0.2609,0.90124
SALVADOR,SALVAD,0.46429,0.90099
ESTHER,ESTH,0.66432,0.9
OLUBUNMI,BUNMI,0.17399,0.9
KOKILABEN,KOKILA,0.09687,0.9
SANDRA,SANDY,0.48124,0.89939
VICTORIA,VICTONA,0.57988,0.89908
MAUREEN,MAURE,0.41323,0.89907
RAMONA,RAMMA,0.44091,0.89815
ELEANOR,ANOR,0.22667,0.89811
PESSY,PEGGY,0.29375,0.89809
BRADRICK,BRAD,0.26036,0.89796
CYNTHIA,CINDY,0.34249,0.89793
RICHARD,RICH,0.66948,0.8972
VICTOR,VIC,0.47494,0.8972
PAULETTE,PAULET,0.49214,0.89713
RAFAEL,RAF,0.21565,0.89683
ZECHARIAH,ZECH,0.32808,0.89655
JANICE,JANKE,0.30481,0.89529
DAOUD,DAVID,0.17749,0.8952
REBECCA,BECKY,0.43459,0.89513
BERTIL,BERT,0.20362,0.8949
SIDNEY,SIDN,0.65385,0.89474
REGIS,REGE,0.35312,0.89474
JEFFIFER,JENNIFER,0.63134,0.89459
GERALDINE,GERDINE,0.32,0.89441
MARILAND,MARILYN,0.52774,0.89398
ESMERALDA,ESMER,0.37342,0.89394
MISON,MI,0.2525,0.89381
ROBERT,ROBT,0.74109,0.89371
RAMONCITO,RAMON,0.19091,0.89362
LILLIAN,LLIAN,0.50136,0.8932
CHAROLLETE,CHARLOTTE,0.49198,0.8932
PATRICIA,PATNCLA,0.60741,0.8913
CHARLOFFE,CHARLOTTE,0.46875,0.89109
DOAME,DIANE,0.53261,0.89091
NORMALEE,NORMA,0.42535,0.89091
FLOSSIE,FLOSSY,0.39541,0.89081
RICHARD,RICHD,0.741,0.89017
EUNICE,UNIS,0.15197,0.89011
LEONARD,LINARD,0.19058,0.89
PATRICK,PATK,0.73072,0.88967
SIDNEY,SID,0.44555,0.88944
STANLEY,STAN,0.51108,0.88937
DOROTHY,DOTHY,0.5,0.88889
ADAMAE,ADA,0.47584,0.88889
FRANCISCO,FRANSCO,0.33684,0.88889
ELEANOR,ELEANN,0.58424,0.88843
ATULKUMAR,ATUL,0.43103,0.88833
HOWARD,HOWIE,0.32388,0.88833
BRUCE,BRU,0.40925,0.88803
BETTY,BEHY,0.54412,0.888
SCOTT,SKOT,0.37184,0.88793
GORDON,GORDY,0.51396,0.88784
ROCKFORD,ROCKY,0.16216,0.88757
BEVERLY,BEV,0.66948,0.8874
ANTHONY,ANTH,0.54019,0.88738
ABRAHAM,ABRAH,0.45288,0.88718
ROSARIO,ROSANO,0.30499,0.8871
UNSUK,UN,0.36259,0.88701
WELLINGTON,WELLINGT,0.46364,0.88696
ERIKA,ENKA,0.57464,0.88644
DALON,DAWN,0.15918,0.88636
DAWUD,DAVID,0.16637,0.88626
PAMELA,PAM,0.26864,0.88623
KEVIN,KWIN,0.39352,0.88542
EDNAMAY,EDNA,0.45833,0.88506
ORAMAE,ORA,0.552,0.88462
JEDADIAH,JED,0.27964,0.88462
HARRIET,HARNET,0.49083,0.8843
JAMESLEE,JAMES,0.57143,0.88421
YOLANDA,YOLY,0.17584,0.88393
EVANELL,EVA,0.24863,0.8835
NAOMI,OMI,0.19666,0.88333
EULAMAE,EULA,0.54054,0.88328
NATIVIDAD,NATI,0.3,0.88294
MILLICENT,MILLICE,0.51309,0.88288
MATTHEW,MATT,0.59243,0.88283
JOAMME,JOANNE,0.5814,0.88235
COMMIE,CONNIE,0.38095,0.88235
ROCKLYN,ROCKY,0.26042,0.88235
RIGOBERTO,RIGOBER,0.58917,0.88176
DEWEY,DUEY,0.21212,0.88148
RUBIE,RUBY,0.35686,0.88109
RODNEY,ROD,0.11324,0.88098
FABIOLA,FABI,0.23642,0.88095
BONNIE,BONN,0.36305,0.88063
MAXWELL,MAX,0.14961,0.88045
IRENIA,IRENE,0.22406,0.87963
YOLANDER,YOLANDA,0.45207,0.87863
GERTRUDE,GERTRU,0.61111,0.87859
MOLLYANN,MOLLY,0.44218,0.87838
YOLANDA,YOLI,0.2112,0.87831
MARGARET,MAGERET,0.52941,0.87805
VANBUREN,VAN,0.33152,0.8777
VERAMAE,VERA,0.46995,0.87755
RONALD,RON,0.56678,0.87668
WESLEY,WESL,0.54199,0.87654
SEYMOUR,SEYMO,0.51449,0.87654
AUGUST,AUG,0.40722,0.87652
GLADIE,GLADYS,0.19898,0.8764
TABITHA,TABI,0.37385,0.87634
ALBERT,ALBT,0.65353,0.87614
CHARLES,CHADES,0.54626,0.87602
RAMANBHAI,RAMAN,0.26667,0.87574
BERTHOLD,BERT,0.25784,0.87533
FERN,FEM,0.35176,0.875
JANYTH,JAN,0.19718,0.875
VALMORE,VAL,0.11382,0.875
BARTON,BART,0.21705,0.87455
WILLIAM,WILIAN,0.35172,0.87429
GWENDOLYN,GWEN,0.37647,0.87411
COURTNEY,CARTNEY,0.20293,0.87387
DONNER,DONNA,0.13413,0.87379
DELLAMAE,DELLA,0.51032,0.87374
BERNARD,BANARD,0.34298,0.87368
VANTHI,VAN,0.29572,0.87356
MARGARET,MARGETT,0.36572,0.87342
RALPH,RALF,0.29255,0.8734
REBEKAH,BEKAH,0.4542,0.87339
HUICHA,HUI,0.45876,0.87255
CORAMAE,CORA,0.41206,0.87234
LUCILLE,CILLE,0.3,0.87209
CAROLINA,CARDINA,0.33179,0.87195
GAGANDEEP,GAGAN,0.12879,0.8718
GAGANDEEP,GAGAN,0.08468,0.8718
SALLIE,SALLY,0.2775,0.87145
THOMAS,TOM,0.50729,0.87138
RAYMOND,RAY,0.17956,0.87116
GOLDIE,GOLDY,0.1931,0.87111
BETTYMAE,BETTY,0.525,0.87097
WIKTOR,VICTOR,0.2236,0.87097
HILDER,HILDA,0.2126,0.87097
PRISCILLA,PRISSY,0.3224,0.87085
RAYDEAN,RAY,0.18974,0.87059
ALICEMAE,ALICE,0.50538,0.87037
WENDEE,WENDY,0.20876,0.87037
WILLIEBELL,WILLIE,0.44667,0.87013
DANIELLE,DAMELLE,0.40361,0.87013
MANUELITO,MANUEL,0.14471,0.87013
REBECCA,BECCA,0.56451,0.87008
BRETTON,BRETT,0.31171,0.87008
DAVID,DAUD,0.27798,0.86923
VIPULKUMAR,VIPUL,0.47449,0.86916
GERTRUDE,GERT,0.44761,0.86905
MARGARET,MAGRET,0.48879,0.86853
LINDAKAY,LINDA,0.60219,0.86842
ORANELL,ORA,0.39521,0.86842
PENELOPE,PENNY,0.39094,0.86835
EDWARD,EDW,0.72854,0.86824
STUART,STUA,0.48696,0.86822
ROCKLAND,ROCKY,0.1688,0.86813
GENEVIEVE,JENEVIVE,0.33213,0.86793
LUZDARY,LUZ,0.3852,0.86782
BRENTON,BRENT,0.26373,0.86761
ANDREW,ANDY,0.3574,0.86717
MEREDITH,MEREDI,0.59221,0.86692
EVERETT,EVERE,0.37011,0.86667
MATTISON,MATT,0.11971,0.86667
IRENE,IRE,0.27681,0.86644
CLAYTON,CLAYT,0.375,0.8662
KERMIT,KERM,0.34711,0.86598
MIRIANN,MIRIAM,0.35859,0.86585
KIMBERLY,KIM,0.36417,0.86584
ARTHUR,ART,0.51695,0.86556
ABIGAIL,ABIGA,0.47407,0.86487
UNSUN,UN,0.40764,0.86487
LUDEAN,LU,0.20042,0.86487
SVETLANA,SVETLA,0.18444,0.86487
JEDEDIAH,JED,0.34452,0.86462
EVELYN,EVEL,0.48266,0.8646
JENNIFER,JENNIF,0.63059,0.86434
VIRGINIA,VINGINA,0.63063,0.8642
HELLAN,HELEN,0.43842,0.86408
SUZIN,SUSAN,0.32152,0.86395
CHADRICK,CHAD,0.40184,0.86383
LORETTA,LOUTTA,0.43182,0.86364
NANCEE,NANCY,0.26143,0.86353
DANTON,DAN,0.11081,0.86316
GUSTAUD,GUSTAVO,0.55752,0.86301
INAMAE,INA,0.50199,0.86301
SYLVESTER,SYLVES,0.44282,0.86286
LUCYNA,LUCY,0.15522,0.86264
GLEMM,GLENN,0.6699,0.8625
FERDINAND,FERDIN,0.31364,0.8625
JAEHYUN,JAE,0.2339,0.8625
ANILKUMAR,ANIL,0.40905,0.86219
PRUDENCE,PRU,0.3125,0.86207
ERNEST,EMEST,0.59976,0.86142
GWENYTH,GWEN,0.23747,0.86124
RULLELL,RUSSELL,0.58491,0.86111
DESALES,DE,0.21306,0.86111
ROOSEVELT,ROOSEVE,0.62938,0.86073
CAROLYN,CARDYN,0.5895,0.86072
ARUNKUMAR,ARUN,0.32476,0.86039
CHETANKUMAR,CHETAN,0.38278,0.86022
NAPOLEON,NAP,0.25304,0.8595
JOAQUIN,JOAQU,0.43571,0.85916
BEFFIE,BESSIE,0.39103,0.85916
REXIE,REX,0.13232,0.85916
JAMES,JAS,0.71939,0.85911
ROWDY,RANDY,0.04593,0.8587
SUNYE,SUN,0.35565,0.85859
CATALINA,CATALI,0.60588,0.85833
PRISCILLA,PRACILLA,0.40873,0.85833
JUDITH,JUDY,0.26384,0.85773
TOBIAS,TOBY,0.21852,0.85723
BARBARA,BARBA,0.44979,0.85718
RITAMAE,RITA,0.55435,0.85714
NAGINBHAI,NAGIN,0.18519,0.85714
ELLAREE,ELLA,0.1791,0.85714
VANESSA,VANES,0.50383,0.85677
MICHAEL,MYKAL,0.20107,0.85606
ARTHUR,ARTH,0.56627,0.85558
KALPANABEN,KALPANA,0.46711,0.85542
ANGELIQUE,ANGELIQ,0.45936,0.85526
ALEJANDRA,ALYANDRA,0.39634,0.85526
EUGENE,GENE,0.11567,0.85508
PRZEMYSLAW,PRZEMEK,0.3224,0.85507
IVELISSE,IVELIS,0.17456,0.85507
GLORIA,GLORY,0.28363,0.85488
REGINALD,REGGIE,0.34106,0.8546
KARLIS,KARL,0.1152,0.85455
CAROL,CARD,0.14034,0.85441
YOLANDA,YOL,0.24904,0.85431
HERIBERTO,HERIBER,0.50595,0.85427
BEATRICE,BEA,0.41559,0.85421
PATROCOA,PATRICIA,0.57747,0.85417
ABAYOMI,YOMI,0.12462,0.85417
MELANIE,MELAN,0.296,0.85385
JILLENE,JILL,0.29251,0.85347
KENWOOD,KEN,0.11786,0.85333
CHELSEA,CHELS,0.41518,0.85321
SURESHBHAI,SURESH,0.37052,0.85321
VERALEE,VERA,0.32955,0.85294
MARCOTULIO,MARCO,0.28019,0.85294
ORADELL,ORA,0.23016,0.85294
RAYMOND,RAY,0.28805,0.85288
SAMANTHA,SAMANT,0.49367,0.85246
BERNADETTE,BERNADETH,0.25743,0.85246
IDAMAE,IDA,0.53275,0.85231
GUADALUPE,GUADAL,0.41437,0.85227
MARIJKE,MARYKE,0.10638,0.85227
ROBERTLEE,ROBERT,0.54762,0.85185
GRACEMARY,GRACE,0.43602,0.85185
DONALD,DON,0.2037,0.85183
TANNY,TAMMY,0.42422,0.85172
PETERIS,PETER,0.3871,0.85161
ERNESTO,EMESTO,0.39946,0.85143
EDWOM,EDWIN,0.6,0.85135
SHEILAGH,SHEILA,0.1455,0.85135
SOOKJA,SOOK,0.32258,0.85106
ARMANDO,MANDO,0.33561,0.85097
ESMERALDA,ESME,0.07584,0.85088
BONIFACIO,BONIFAC,0.44882,0.85075
JITENDRA,JITEN,0.13349,0.85075
HARIHARAN,HARI,0.13014,0.85075
DENNIS,DEMIS,0.30046,0.85065
ARTINA,TINA,0.11672,0.85058
JUANANTONIO,JUAN,0.51429,0.85039
AUDREY,AUDR,0.5913,0.85
CARDI,CAROL,0.2901,0.85
JORDAN,JORDY,0.07391,0.85
REBECCA,ECCA,0.06171,0.85
EUGENE,GENE,0.18487,0.84981
JILL,JYL,0.16516,0.84974
CURTIS,CURT,0.4411,0.8495
CRISTOBAL,CRISTOB,0.43169,0.84946
ROOSEVELT,ROSAVELT,0.4697,0.84932
CHRISTINA,CHRISTMA,0.33514,0.84932
HARVEY,HARV,0.43204,0.84924
RUSSELL,RUSS,0.55496,0.84909
MARGARET,MARGT,0.35183,0.849
ELIZABETH,ELIZBTH,0.51582,0.84896
DOROTHY,DOROT,0.47998,0.84891
MARCYANN,MARCY,0.36364,0.84849
DHIRUBHAI,DHIRU,0.23509,0.8481
SOLOMON,SOL,0.32557,0.84761
ORALEE,ORA,0.47423,0.84733
INSU,IN,0.29187,0.84722
CHADDRICK,CHAD,0.2563,0.84722
XIAOJING,XIAO,0.1618,0.84722
DARLENE,DANENE,0.07801,0.84722
MARISSA,MANSSA,0.5,0.84694
DOROTHY,DOT,0.54902,0.8467
OLAMAE,OLA,0.58447,0.84651
NANCIE,NANCY,0.35808,0.84627
PATRICIAAN,PATRICIA,0.50926,0.84615
GLENDALEE,GLENDA,0.35032,0.84615
GWENIVERE,GWEN,0.31977,0.84615
PHILOMENA,PHILOME,0.23077,0.84615
ARLENE,ADENE,0.13044,0.84615
ROYSTON,ROY,0.11132,0.84615
TIPTON,TIP,0.03569,0.84615
ROBERT,ROB,0.59368,0.84595
LAURAMAE,LAURA,0.49569,0.84559
JANICE,JAMCE,0.51899,0.84536
TARANEH,TARA,0.11146,0.84524
CLETUS,CLETE,0.31458,0.84517
JOSEPH,JOS,0.71086,0.84515
CHESTER,CHET,0.0531,0.84515
HARESHKUMAR,HARESH,0.34091,0.84507
VIRGINIA,VIRGENA,0.31579,0.84507
DEDIOS,DE,0.24096,0.84507
CLYDE,CLY,0.22727,0.84507
STEPHANIE,STEPHIE,0.44784,0.84471
MANEY,NANCY,0.17391,0.84444
MILAGROS,MILAGR,0.52889,0.84397
TRINA,TNNA,0.46154,0.84375
OMALEE,OMA,0.38571,0.84375
ESPERANZA,ESPY,0.13894,0.84375
STANLEY,STANL,0.40418,0.84364
ELIZABETH,LIZ,0.48283,0.84361
GUADALUPE,GUADALU,0.50684,0.84337
GUADALUPE,GUAD,0.46512,0.84337
JAYENDRA,JAY,0.15982,0.84337
STANLEY,STAN,0.15384,0.84324
HENRIETTA,HENRIET,0.49287,0.84321
LULAMAE,LULA,0.57697,0.8431
HERBERT,HERBT,0.66738,0.84253
SAMUEL,SAM,0.33454,0.84248
PATRICK,PATRK,0.55626,0.84244
JEDIDIAH,JED,0.32152,0.84223
PAVANKUMAR,PAVAN,0.36158,0.84211
TIMOTHEUS,TIM,0.24903,0.84211
MONTSERRAT,MONTSE,0.29514,0.84158
KINI,KIM,0.14496,0.84146
VIMALKUMAR,VIMAL,0.44167,0.84127
HIRENKUMAR,HIREN,0.36552,0.84127
PARIVASH,PARI,0.07946,0.84127
OSAMU,SAM,0.02357,0.84127
JAINES,JAMES,0.42775,0.84091
RUSSELL,RUSSEN,0.47155,0.84058
UNMI,UN,0.30367,0.84058
SHIRLEY,SHIR,0.45568,0.84026
BARTLEY,BART,0.24799,0.84021
KATHLEEN,HLEEN,0.02898,0.84
MARIADE,MARIA,0.47461,0.83984
JAMESHA,JAMES,0.1109,0.83942
VIRGINIA,VIGINA,0.50254,0.83898
ERNESTINA,EMESTINA,0.46429,0.83871
SALAHELDIN,SALAH,0.25366,0.83871
LOISTEEN,LOIS,0.24074,0.83871
CEDRIC,CED,0.33666,0.83851
HENRY,HANK,0.271,0.83851
DAVIDLEE,DAVID,0.61936,0.83843
THORNAS,THOMAS,0.52201,0.83838
ELLSWORTH,ELLSWOR,0.43684,0.83838
DELMONT,DEL,0.09157,0.8381
MANOJKUMAR,MANOJ,0.37243,0.83796
VIVIAN,VIV,0.50156,0.83784
KANTIBHAI,KANTI,0.27596,0.83784
BABUBHAI,BABU,0.20598,0.83784
CELESTIAL,CELESTE,0.11232,0.83784
ANTHONY,ANTHO,0.34834,0.83761
ZHENYU,ZHEN,0.15877,0.8375
KARL,KAD,0.39692,0.8374
PHYLLIS,PHYLL,0.43959,0.83717
GUADELOPE,GUADALUPE,0.41622,0.83696
JOCELYN,JOCEL,0.26102,0.83696
ERIK,ENK,0.4555,0.83654
BENJAMIN,BEN,0.37556,0.83635
RICHARD,RICHA,0.30841,0.8362
MARYIRENE,MARY,0.47664,0.83607
PAULLY,POLLY,0.33553,0.83607
LUISALBERTO,LUIS,0.47458,0.83582
GEOTTREY,GEOFFREY,0.38356,0.83582
AMILLIA,AMELIA,0.26407,0.83562
AVALEE,AVA,0.18374,0.83562
ROOSEVELT,ROOSEV,0.60551,0.83544
MILAGROS,MILAG,0.41279,0.83529
ELIAHU,ELI,0.2539,0.83517
MELISSA,MELIS,0.47208,0.83498
DAVOUD,DAVID,0.25266,0.83417
CLIFFORD,CLIFF,0.16391,0.83412
MILTILDA,MATILDA,0.5,0.83333
MARIANNA,MANANNA,0.45872,0.83333
OSVALDO,OSVAL,0.39394,0.83333
JOETHEL,JO,0.38732,0.83333
ENRIQUE,ENRI,0.2549,0.83333
VALDEAN,VAL,0.20599,0.83333
XIAOQIN,XIAO,0.19231,0.83333
CAFFIE,CASSIE,0.17199,0.83333
DAPHNE,DAFNE,0.08914,0.83333
BABATUNDE,TUNDE,0.07444,0.83333
TRAVERS,TRAVIS,0.06633,0.83333
ORVILLE,ORV,0.48921,0.83265
JENNIFER,JENN,0.57103,0.83263
BENJAMIN,BEN,0.28693,0.83246
RUBBIE,RUBY,0.36641,0.83237
RODOLFO,RODOL,0.4744,0.83234
KIMBERLY,KIM,0.31041,0.83202
CHARLOTTE,CHARLETE,0.3694,0.83193
UNCHU,UN,0.28669,0.83168
LOTTIE,LOTTA,0.08244,0.83133
FRANKLIN,FRANK,0.28148,0.83122
ALICE,ALKE,0.39506,0.83117
CRYSTAL,CRYSTI,0.15733,0.83099
OLUSEGUN,SEGUN,0.08345,0.83099
GUEORGUI,GEORGE,0.26278,0.83083
VINAYKUMAR,VINAY,0.38028,0.83077
ROBERT,RORT,0.28723,0.83077
JAGRUTIBEN,JAGRUTI,0.05516,0.83077
NICHOLAS,NICK,0.36034,0.83075
DOROTHY,DARTHY,0.3848,0.83069
MELVIN,MELV,0.46914,0.8306
ASIMINA,MINA,0.15124,0.83051
GUADALUPE,GUADA,0.33986,0.83044
MARYLEA,MARY,0.38509,0.83036
GENEVIEVE,GENEVINE,0.4661,0.83019
PATRICIA,PATRISA,0.34109,0.83019
CLAUDETTE,CLAUDET,0.48371,0.83011
RIGOBERTO,RIGO,0.36914,0.82987
CYNTHIA,CYNTHY,0.37778,0.82927
CLEOPATRA,CLEO,0.30902,0.82902
BARBARA,BABRA,0.5,0.82899
JEBEDIAH,JEB,0.29022,0.82883
SANGYONG,SANG,0.33333,0.82857
BARKLEY,BARCLAY,0.03927,0.82857
GWENDOLYN,GWEN,0.28891,0.82845
DEXTER,DEX,0.2489,0.82843
ROSARIO,ROSAR,0.42597,0.82828
MELVIN,MEL,0.35829,0.82799
JENNIFER,JENEFER,0.39154,0.82798
DUSTIN,DUSTY,0.17328,0.8278
KATREENA,KATRINA,0.11852,0.82759
CURBY,KIRBY,0.11622,0.82759
WESLEY,WES,0.44922,0.82754
BONNIE,BONNY,0.32603,0.82734
GORDIE,GORDON,0.35393,0.82732
DELBERT,DELBE,0.41358,0.82716
JENNIFER,JENAFER,0.21136,0.82716
JENNEFFER,JENNIFER,0.38942,0.82653
EUGENE,EUGE,0.45137,0.82648
DENYCE,DENISE,0.18025,0.82632
ROLAND,ROLEN,0.11704,0.82609
CHARLES,CUF,0.1131,0.82609
DANIEL,DAN,0.50115,0.82587
GRANVILLE,GRANVIL,0.2611,0.82584
GUADALUPE,LUPE,0.17504,0.8258
SHIRLEY,SHIRL,0.37325,0.82572
GEORGIOS,GEORGE,0.39505,0.82563
CALVIN,CAL,0.31082,0.82563
WANDALYN,WANDA,0.20968,0.8254
DOYLE,DOIL,0.10833,0.8254
HIROAKI,HIRO,0.03018,0.8254
CONSUELO,CONSUE,0.54848,0.825
MARYLAND,MARILYN,0.44754,0.8249
WINIFRED,WINIFR,0.56371,0.82486
ABRAHAM,ABR,0.32639,0.82456
SONMI,SON,0.25683,0.82456
ERMAGENE,ERMA,0.23153,0.82456
LORRAINE,LORRAN,0.20086,0.82456
RUSTIE,RUSTY,0.12208,0.82456
WALLACE,WALLA,0.11191,0.82456
OLUKEMI,KEMI,0.10805,0.82456
ADRIENNE,ADNENNE,0.51675,0.82443
WENDALYN,WENDY,0.32335,0.82443
HYOSUN,HYO,0.2891,0.82432
ELSIEMAE,ELSIE,0.46012,0.82418
MARISELA,MANSELA,0.38462,0.82418
RAMILABEN,RAMILA,0.11574,0.82407
JAMES,JIM,0.50268,0.82405
DORAMAE,DORA,0.48069,0.82353
LUZDEL,LUZ,0.43411,0.82353
GUADELOUPE,GUADALUPE,0.38889,0.82353
JISOOK,JI,0.2682,0.82353
MIROSLAVA,MIROS,0.25112,0.82353
JESSICA,JESIKA,0.18901,0.82353
MARIE,MANE,0.41069,0.82292
EDITH,EDIE,0.37113,0.82291
OKHWA,OK,0.43333,0.82279
MARYDONNA,MARY,0.44737,0.82258
RAVIKUMAR,RAVI,0.27889,0.82222
DOLLIE,DOLLY,0.20307,0.82204
CRYSTALYN,CRYSTAL,0.14244,0.82203
KETANKUMAR,KETAN,0.42705,0.82192
SANGITABEN,SANGITA,0.33898,0.82192
RAYMOND,RAYMD,0.68075,0.82182
DAXABEN,DAXA,0.12943,0.82171
CALLETANO,CAYETANO,0.15732,0.82166
GREGORIO,GREGONO,0.38656,0.82143
ROSAELVA,ROSA,0.36508,0.82143
KENDRICK,KENDRI,0.2987,0.82143
